USER_DATA1,USER_DATA2,USER_DATA3,USER_DATA4,USER_DATA5,USER_DATA6,USER_DATA7
3005,1919,3497,3506,1853,2864,492
2958,1923,3539,3469,1862,2902,492
2939,1933,3549,3530,1858,2892,492
2977,1914,3549,3525,1848,2860,503
2986,1928,3557,3543,1840,2883,492
2996,1942,3520,3525,1881,2883,492
3024,1914,3525,3516,1872,2878,492
2982,1942,3543,3534,1867,2892,492
2953,1881,3543,3445,1849,2860,492
2968,1909,3539,3502,1862,2883,492
2991,1956,3525,3469,1872,2888,492
2972,1881,3525,3534,1853,2850,480
2991,1895,3492,3483,1877,2878,492
3019,1909,3506,3506,1858,2860,492
2986,1942,3534,3502,1835,2874,492
2972,1914,3539,3539,1849,2860,492
2972,1891,3557,3492,1862,2892,492
2972,1914,3562,3506,1867,2850,492
2963,1952,3511,3488,1867,2869,492
2968,1933,3553,3502,1853,2874,492
3000,1886,3549,3516,1872,2874,492
3014,1905,3483,3497,1848,2855,492
2982,1933,3544,3478,1840,2883,492
2982,1923,3544,3530,1891,2855,492
2953,1886,3543,3511,1909,2907,492
2963,1923,3549,3520,1872,2869,492
2986,1938,3548,3549,1848,2869,492
2958,1877,3497,3502,1835,2878,492
3005,1933,3539,3516,1872,2902,492
3010,1919,3544,3511,1858,2892,492
3005,1928,3576,3469,1848,2874,492
3005,1891,3562,3488,1840,2864,492
2972,1905,3506,3483,1862,2860,492
2986,1914,3530,3478,1867,2864,492
2958,1923,3502,3469,1867,2902,492
2968,1900,3544,3534,1872,2855,492
2968,1923,3548,3516,1862,2888,492
2939,1938,3534,3506,1848,2869,492
2991,1961,3544,3511,1821,2869,492
3019,1909,3520,3502,1858,2883,492
2972,1886,3543,3511,1858,2860,492
2986,1905,3543,3516,1867,2860,480
2996,1886,3544,3469,1862,2902,492
2972,1905,3525,3502,1862,2878,492
2986,1933,3539,3525,1862,2855,492
2982,1914,3544,3506,1848,2911,492
2968,1895,3544,3511,1844,2855,492
2963,1923,3553,3534,1872,2864,492
2972,1905,3539,3502,1849,2892,492
2982,1881,3543,3520,1867,2846,492
2986,1914,3543,3539,1849,2864,492
2972,1914,3562,3506,1853,2897,492
2958,1909,3544,3502,1867,2892,492
2977,1928,3530,3544,1848,2864,492
2968,1933,3544,3492,1877,2874,492
2963,1942,3534,3525,1867,2902,492
2935,1938,3539,3502,1853,2878,492
2996,1928,3534,3544,1858,2874,492
2991,1933,3544,3502,1872,2916,492
3005,1933,3548,3525,1858,2878,492
2968,1933,3543,3506,1872,2860,492
2991,1919,3548,3534,1853,2850,492
2991,1928,3562,3483,1853,2869,492
2977,1923,3557,3469,1867,2911,492
2977,1942,3530,3497,1867,2864,492
3014,1952,3544,3497,1858,2860,492
3000,1928,3543,3525,1844,2855,492
2996,1914,3549,3511,1872,2902,480
2986,1933,3516,3525,1872,2878,492
3010,1909,3534,3534,1849,2878,492
3000,1909,3511,3539,1858,2855,492
2991,1909,3492,3534,1877,2883,492
2991,1928,3506,3464,1844,2883,492
2972,1900,3516,3502,1849,2892,492
3000,1928,3459,3553,1867,2878,480
2958,1900,3506,3492,1895,2841,492
3000,1905,3506,3525,1849,2874,492
2944,1928,3525,3516,1858,2892,492
2977,1933,3548,3549,1867,2897,492
2972,1923,3548,3516,1867,2864,492
2949,1905,3557,3483,1848,2846,492
2963,1942,3543,3506,1862,2878,492
2939,1909,3549,3506,1872,2869,492
2991,1905,3534,3492,1867,2864,492
2982,1928,3548,3488,1872,2869,492
2953,1928,3525,3473,1872,2888,492
2953,1919,3539,3502,1858,2897,492
2991,1914,3549,3492,1835,2869,492
2953,1919,3553,3511,1844,2874,492
2968,1923,3557,3511,1872,2892,492
2935,1905,3544,3502,1862,2860,480
2953,1919,3525,3506,1844,2897,492
2963,1942,3543,3530,1881,2874,492
2982,1919,3549,3525,1853,2883,492
2982,1905,3520,3520,1867,2892,492
3014,1914,3534,3511,1853,2874,492
2953,1909,3473,3530,1867,2846,492
2963,1905,3548,3497,1872,2874,492
2986,1905,3492,3530,1849,2888,492
2968,1914,3525,3544,1858,2878,492
2991,1923,3525,3525,1862,2860,492
2982,1891,3516,3539,1853,2836,492
2968,1886,3511,3530,1872,2897,492
2930,1909,3516,3530,1862,2874,492
2972,1938,3511,3473,1872,2850,492
2977,1895,3530,3525,1862,2874,480
2986,1914,3544,3525,1858,2897,503
2977,1905,3516,3497,1826,2860,492
2986,1923,3530,3506,1909,2855,492
2958,1942,3544,3511,1853,2883,492
2986,1900,3502,3502,1844,2907,503
2982,1900,3539,3525,1919,2878,492
2972,1881,3544,3548,1844,2846,492
2968,1942,3525,3497,1853,2864,492
2977,1914,3516,3539,1877,2897,492
3000,1919,3539,3516,1886,2883,492
2986,1905,3553,3539,1872,2864,492
2939,1928,3530,3530,1862,2869,492
2986,1895,3549,3492,1840,2841,492
3000,1928,3548,3488,1862,2883,492
2982,1909,3539,3530,1853,2892,492
2944,1933,3530,3539,1844,2841,492
2977,1928,3534,3539,1844,2902,492
2986,1891,3506,3492,1849,2897,492
2958,1905,3506,3548,1849,2850,492
2968,1886,3534,3530,1881,2892,492
2996,1947,3492,3511,1872,2888,492
2972,1909,3562,3502,1844,2864,492
2991,1933,3543,3516,1891,2860,492
2968,1909,3530,3553,1886,2888,492
2963,1928,3525,3534,1858,2892,492
3010,1933,3520,3520,1881,2911,492
2996,1881,3520,3502,1835,2883,492
2991,1923,3539,3506,1867,2878,492
3000,1919,3548,3530,1872,2874,492
2968,1919,3520,3511,1867,2902,492
2991,1900,3553,3534,1877,2911,492
3005,1919,3553,3525,1867,2930,492
2968,1942,3530,3497,1867,2892,480
2939,1895,3549,3520,1867,2902,492
2996,1909,3502,3488,1867,2850,492
2991,1895,3548,3520,1848,2841,492
2991,1914,3544,3502,1862,2860,492
2958,1923,3534,3516,1848,2841,480
2963,1905,3534,3539,1877,2846,492
2977,1928,3497,3525,1895,2860,492
2982,1909,3497,3534,1886,2869,492
2953,1923,3530,3497,1877,2860,492
2953,1905,3548,3534,1862,2850,492
2986,1928,3506,3549,1848,2869,492
2986,1933,3516,3502,1830,2874,480
2996,1886,3530,3469,1886,2878,492
2982,1923,3553,3497,1881,2888,492
2953,1905,3557,3520,1867,2841,492
2939,1914,3544,3502,1848,2869,492
2963,1923,3502,3534,1848,2897,492
2949,1872,3534,3497,1862,2897,492
3010,1919,3562,3492,1886,2883,492
2986,1919,3520,3520,1886,2892,492
2972,1895,3520,3534,1848,2907,492
2968,1900,3539,3525,1872,2892,492
2982,1914,3511,3530,1877,2892,492
2958,1923,3543,3525,1862,2874,492
2996,1914,3557,3478,1862,2869,492
3000,1909,3544,3511,1848,2878,492
2982,1895,3520,3530,1844,2869,492
2977,1928,3544,3525,1872,2860,503
2996,1895,3530,3543,1872,2841,492
2982,1928,3516,3497,1886,2846,492
2996,1895,3492,3549,1853,2878,492
2996,1923,3544,3549,1844,2860,480
2996,1919,3553,3520,1858,2850,492
2986,1942,3544,3497,1848,2892,492
3010,1933,3544,3530,1877,2864,492
3010,1928,3534,3497,1886,2869,492
2991,1914,3544,3539,1877,2869,492
2991,1942,3557,3539,1844,2874,492
3005,1909,3544,3516,1862,2874,480
3000,1900,3502,3539,1858,2874,492
3000,1895,3511,3502,1848,2864,492
2991,1923,3548,3473,1900,2874,492
2996,1928,3549,3483,1877,2869,492
3000,1909,3520,3525,1853,2907,492
3000,1923,3525,3520,1858,2878,492
3005,1900,3549,3488,1853,2850,492
2986,1895,3548,3497,1872,2897,492
2982,1900,3534,3497,1849,2888,492
2982,1905,3492,3497,1848,2897,492
2986,1909,3543,3516,1849,2860,492
2986,1919,3520,3539,1858,2892,492
2986,1905,3497,3506,1900,2860,492
2996,1886,3549,3488,1853,2874,492
3000,1891,3544,3506,1872,2850,492
2996,1919,3530,3539,1848,2892,492
2986,1919,3520,3543,1853,2850,492
2982,1905,3549,3492,1858,2864,492
2968,1891,3544,3543,1862,2864,492
2935,1881,3539,3534,1867,2888,492
2972,1900,3525,3525,1895,2902,492
2991,1928,3544,3520,1853,2888,492
2963,1923,3502,3520,1849,2869,492
2968,1891,3544,3511,1849,2878,492
2986,1886,3530,3525,1853,2855,492
2958,1914,3506,3530,1844,2883,492
2944,1938,3502,3516,1858,2860,492
2982,1909,3539,3492,1872,2874,492
2991,1905,3530,3516,1877,2878,492
2986,1914,3543,3502,1877,2874,503
3014,1914,3530,3497,1895,2878,492
3014,1895,3553,3473,1844,2836,492
2968,1881,3549,3516,1881,2874,492
2963,1923,3549,3478,1844,2874,492
2977,1895,3539,3534,1826,2869,492
2958,1933,3530,3497,1858,2911,492
2953,1919,3516,3516,1862,2897,492
2972,1886,3492,3520,1853,2864,492
2982,1895,3516,3497,1877,2864,492
3010,1919,3525,3506,1844,2878,492
2963,1933,3511,3506,1853,2883,492
3010,1919,3549,3492,1830,2864,492
2977,1900,3548,3530,1853,2869,492
2953,1914,3543,3516,1853,2902,492
2986,1914,3567,3492,1858,2883,492
2986,1938,3543,3497,1853,2855,492
3000,1905,3534,3492,1862,2864,492
2991,1905,3534,3530,1872,2878,480
2996,1914,3520,3502,1844,2888,492
2949,1923,3511,3511,1848,2860,492
2972,1900,3506,3502,1877,2860,492
2986,1881,3539,3539,1858,2860,492
3010,1938,3539,3539,1835,2878,492
2991,1909,3520,3511,1853,2869,492
2963,1914,3549,3511,1881,2864,492
2982,1942,3544,3516,1877,2860,492
2949,1895,3544,3525,1862,2874,492
2953,1909,3543,3506,1853,2874,492
2977,1914,3544,3488,1826,2855,492
2986,1933,3549,3506,1895,2874,492
2986,1914,3553,3488,1886,2888,492
3014,1900,3544,3455,1849,2860,492
3019,1914,3548,3530,1848,2850,492
2977,1923,3511,3544,1862,2874,492
2982,1919,3502,3511,1877,2888,492
2977,1886,3511,3534,1858,2874,492
2986,1914,3530,3520,1877,2874,492
3000,1905,3516,3520,1858,2869,492
3005,1928,3543,3497,1867,2897,492
2972,1938,3543,3497,1872,2874,492
2972,1928,3543,3516,1849,2860,492
2958,1919,3525,3506,1877,2888,492
2982,1923,3548,3502,1877,2907,492
2991,1923,3530,3502,1844,2897,492
2986,1956,3543,3520,1844,2864,492
2977,1919,3534,3520,1867,2850,492
3005,1928,3525,3497,1844,2888,492
3010,1928,3516,3530,1867,2864,492
2991,1919,3516,3530,1867,2860,492
2977,1905,3502,3516,1872,2864,492
2977,1928,3548,3530,1844,2864,492
2963,1919,3516,3525,1858,2878,492
2935,1919,3530,3488,1858,2860,492
2977,1891,3530,3516,1844,2860,492
2991,1909,3562,3506,1848,2860,492
2982,1914,3549,3543,1872,2897,492
3005,1947,3567,3544,1872,2902,480
3014,1919,3553,3530,1872,2846,492
2982,1900,3553,3544,1853,2878,492
2986,1895,3539,3488,1853,2841,492
2996,1919,3553,3539,1867,2841,492
2986,1956,3549,3539,1853,2841,480
2982,1909,3520,3530,1900,2855,492
3000,1938,3511,3502,1858,2864,492
3000,1923,3525,3502,1867,2850,492
2972,1891,3497,3516,1853,2864,492
2977,1872,3497,3506,1848,2878,492
3005,1900,3544,3506,1877,2860,492
3010,1933,3543,3511,1867,2869,492
2986,1961,3543,3492,1853,2874,492
2996,1928,3544,3497,1858,2888,492
2996,1928,3525,3539,1872,2916,492
2986,1905,3539,3506,1862,2878,492
2991,1891,3516,3520,1844,2897,492
2953,1928,3497,3506,1840,2883,480
2977,1956,3548,3520,1877,2892,492
2963,1933,3562,3497,1862,2874,492
2996,1914,3530,3511,1881,2878,492
2996,1900,3534,3525,1877,2860,492
2996,1895,3544,3492,1849,2874,492
3005,1919,3544,3497,1858,2878,492
2968,1942,3539,3530,1862,2869,492
2944,1909,3534,3506,1891,2878,492
2972,1877,3539,3502,1886,2860,492
3014,1881,3549,3525,1849,2850,492
2996,1900,3557,3506,1844,2892,492
2953,1919,3530,3516,1849,2897,492
2949,1919,3549,3525,1848,2897,492
2968,1905,3544,3530,1858,2836,492
3014,1900,3544,3543,1867,2860,492
2939,1895,3553,3488,1867,2846,492
2949,1914,3539,3534,1858,2874,492
2968,1919,3516,3534,1848,2897,492
2991,1914,3530,3525,1872,2874,492
2963,1966,3544,3520,1867,2878,492
2968,1923,3544,3525,1905,2892,492
2986,1909,3544,3502,1844,2892,492
2972,1942,3571,3534,1872,2869,492
2972,1933,3548,3520,1848,2864,492
2935,1900,3544,3534,1844,2907,492
3014,1928,3567,3497,1862,2897,492
2958,1900,3520,3520,1900,2860,492
2953,1923,3511,3492,1862,2850,492
2982,1909,3539,3530,1853,2897,492
